id,tag_name,created_at
1,sunset,"2023-07-30 13:35:19"
2,photography,"2023-07-30 13:35:19"
3,sunrise,"2023-07-30 13:35:19"
4,landscape,"2023-07-30 13:35:19"
5,food,"2023-07-30 13:35:19"
6,foodie,"2023-07-30 13:35:19"
7,delicious,"2023-07-30 13:35:19"
8,beauty,"2023-07-30 13:35:19"
9,stunning,"2023-07-30 13:35:19"
10,dreamy,"2023-07-30 13:35:19"
11,lol,"2023-07-30 13:35:19"
12,happy,"2023-07-30 13:35:19"
13,fun,"2023-07-30 13:35:19"
14,style,"2023-07-30 13:35:19"
15,hair,"2023-07-30 13:35:19"
16,fashion,"2023-07-30 13:35:19"
17,party,"2023-07-30 13:35:19"
18,concert,"2023-07-30 13:35:19"
19,drunk,"2023-07-30 13:35:19"
20,beach,"2023-07-30 13:35:19"
21,smile,"2023-07-30 13:35:19"
